404;Josh;Smith;LAC;0;0;0;37;63
247;Sasha;Kaun;CLE;0;0;0;35;65
329;Nerlens;Noel;PHI;0;0;0;36;65
30;Cameron;Bairstow;CHI;0;0;0;35;66
33;Andrea;Bargnani;BKN;0;0;0;33;67
280;Jarell;Martin;MEM;0;0;1;31;68
206;Richaun;Holmes;PHI;0;0;0;32;68
85;Tyson;Chandler;PHX;0;0;0;30;70
370;Willie;Reed;BKN;0;0;0;29;71
336;Kyle;O'Quinn;NYK;0;0;0;29;71
83;Willie;Cauley-Stein;SAC;0;0;0;28;72
475;Cody;Zeller;CHA;0;0;0;27;73
198;Jordan;Hill;IND;0;0;0;26;74
146;Channing;Frye;CLE;0;0;0;25;75
411;Alex;Stepheson;LAC;0;0;0;25;75
264;Meyers;Leonard;POR;0;0;0;25;75
112;Sam;Dekker;HOU;0;0;0;24;76
257;Joffrey;Lauvergne;DEN;0;0;0;23;77
192;John;Henson;MIL;0;0;0;23;77
212;Kris;Humphries;ATL;0;0;0;22;78
426;Tristan;Thompson;CLE;0;0;0;22;78
328;Joakim;Noah;CHI;0;0;0;21;79
78;Clint;Capela;HOU;0;0;0;20;80
424;Jason;Thompson;GSW;0;0;0;19;81
28;Jeff;Ayres;LAC;0;0;0;17;83
407;Marreese;Speights;GSW;0;0;0;17;84
339;Kelly;Olynyk;BOS;0;0;0;14;86
415;Jared;Sullinger;BOS;0;0;0;14;86
411;Alex;Stepheson;MEM;0;0;0;13;87
436;Anderson;Varejão;CLE;0;0;0;12;88
196;Nenê;;WAS;0;0;0;11;89
208;Al;Horford;ATL;0;0;0;10;90
60;Elton;Brand;PHI;0;0;0;10;90
26;Ömer;A??k;NOP;0;0;0;9;91
353;Kendrick;Perkins;NOP;0;0;0;8;92
195;J.J.;Hickson;WAS;0;0;0;9;92
145;Enes;Freedom;OKC;0;0;0;7;93
321;Mike;Muscala;ATL;0;0;0;5;95
237;Nikola;Joki?;DEN;0;0;0;5;95
441;Nikola;Vu?evi?;ORL;0;0;0;5;95
403;Jason;Smith;ORL;0;0;0;4;96
47;Bismack;Biyombo;TOR;0;0;0;4;96
6;Cole;Aldrich;LAC;0;0;0;3;97
392;Kevin;Séraphin;NYK;0;0;0;3;97
195;J.J.;Hickson;DEN;0;0;0;2;98
40;Aron;Baynes;DET;0;0;0;2;98
49;Tarik;Black;LAL;0;0;0;2;98
430;Karl-Anthony;Towns;MIN;0;0;0;2;98
356;Mason;Plumlee;POR;0;0;0;2;98
